Stage,Stage Type,Date,Lead Times (Weeks),Completion Date,Category,Type,Item,Unit,Count, ~ Cost , Total Cost , Cost Over Time , Utilization , Size ,length,width,height,volume,weight,Reference
4,Prep,7/15/2025,3,8/5/2025,R&D,Tools & Clothing,Shovel​,Item,1, $82 , $82 ," $36,215 ", General , small ,11.25,8,2,180.00,4.00,https://shop.dqeready.com/two-piece-safety-shovel
4,Testing,8/5/2025,2,8/19/2025,R&D,Wages,"Hourly Rate for Researchers (Assume 3 Researchers, 6 Hours)",Individual,18, $55 , $990 ," $37,205 ",,,,,,,,https://www.indeed.com/q-vacuum-chamber-design-engineer-jobs.html?vjk=779b8a7d3b8f27da
4,Testing,8/5/2025,2,8/19/2025,R&D,Testing,Utilities,Use,1, $- , $- ," $37,205 ",,,,,,,,https://intlvac.ca/en-ca/Our-Company/NewsandBlog/ArticleID/78/How-to-Determine-the-Annual-Running-Cost-of-a-Vacuum-Pump
4,Testing,8/5/2025,2,8/19/2025,R&D,Testing,Safety/Training,Use,7, $346 ," $2,422 "," $39,627 ",,,,,,,,https://mttc.jpl.nasa.gov/pdf/MTTC_Tuition_Rates.pdf
4,Testing,8/5/2025,2,8/19/2025,R&D,Testing,Consumables Used via Testing,Kit,2, $30 , $60 ," $39,687 ",,,,,,,,https://www.hisco.com/Product/824-WX50-33018
4,Testing,8/5/2025,2,8/19/2025,R&D,Facility,Florida Space Institute,Use,1," $17,000 "," $17,000 "," $56,687 ",,,,,,,,Cam
5,Prep,8/19/2025,4,9/16/2025,Product,Storage,463L,Pallet,1," $1,700 "," $1,700 "," $58,387 ", Container , large ,108,88,90,855360.00,10000.00,"https://www.af.mil/News/Article-Display/Article/132621/new-cargo-pallet-will-save-us-military-13-million/#:~:text=%E2%80%9CThe%20463L%20pallet%20and%20net,pallets%20to%20theater%20per%20month."
5,Prep,8/19/2025,4,9/16/2025,Product,Storage,ISU90,Container,1," $15,000 "," $15,000 "," $73,387 ", Container , large ,90.00,88.00,90.00,712800.00,10000.00,https://store.armyproperty.com/products/container-isu-90-4-door-fld-green-nsn-8415-01-316-3296.html
5,Prep,8/19/2025,4,9/16/2025,R&D,Medical,Portable Hospital​ (Field Hospital),Tent,1," $16,000 "," $16,000 "," $89,387 ", Casualties , large ,102,41,49,204918.00,1000.00,https://www.grainger.com/product/FSI-Pneumatic-Rehab-System-10-46MNa60
5,Prep,8/19/2025,4,9/16/2025,R&D,Tools & Clothing,Solar Tent​,Tent,1," $1,000 "," $1,000 "," $90,387 ", General , large ,22.8,7.8,7.8,1387.15,35.00,https://www.tacticalsolar.com/solar_tent_21-0052.php?contactTF=closed
5,Prep,8/19/2025,4,9/16/2025,R&D,Tools & Clothing,Portable Chair​,Item,1, $14 , $14 ," $90,401 ", General , large ,15,4,4,240.00,7.50,https://www.homedepot.com/p/Beige-Metal-Stackable-Folding-Chair-CF29-182029BE/326182591
5,Prep,8/19/2025,4,9/16/2025,R&D,Tools & Clothing,Portable Table​,Item,1, $72 , $72 ," $90,473 ", General , large ,24,24,36,20736.00,15.00,https://www.homedepot.com/p/Best-Choice-Products-4-ft-Plastic-Folding-Picnic-Table-Indoor-Outdoor-Heavy-Duty-Portable-with-Handle-Lock-SKY1593/320901431?source=shoppingads&locale=en-US&srsltid=AfmBOorPjw9ho-_s-JCDLMGQaIFoHqlrj_N3PJYbUxFDSJV_tM9N1hQAiMc
5,Prep,8/19/2025,4,9/16/2025,R&D,Tools & Clothing,Portable Toilet​,Item,1, $22 , $22 ," $90,495 ", General , large ,14,3,16,672.00,15.00,https://www.rei.com/product/223884/reliance-luggable-loo-portable-toilet-with-metal-handle?sku=2238840001&store=174
5,Testing,9/16/2025,2,9/30/2025,R&D,Wages,"Hourly Rate for Researchers (Assume 3 Researchers, 6 Hours)",Individual,18, $55 , $990 ," $91,485 ",,,,,,,,https://www.indeed.com/q-vacuum-chamber-design-engineer-jobs.html?vjk=779b8a7d3b8f27da
5,Testing,9/16/2025,2,9/30/2025,R&D,Testing,Utilities,Use,1, $- , $- ," $91,485 ",,,,,,,,https://intlvac.ca/en-ca/Our-Company/NewsandBlog/ArticleID/78/How-to-Determine-the-Annual-Running-Cost-of-a-Vacuum-Pump
5,Testing,9/16/2025,2,9/30/2025,R&D,Testing,Safety/Training,Use,7, $346 ," $2,422 "," $93,907 ",,,,,,,,https://mttc.jpl.nasa.gov/pdf/MTTC_Tuition_Rates.pdf
5,Testing,9/16/2025,2,9/30/2025,R&D,Testing,Consumables Used via Testing,Kit,2, $30 , $60 ," $93,967 ",,,,,,,,https://www.hisco.com/Product/824-WX50-33018
5,Testing,9/16/2025,2,9/30/2025,R&D,Facility,USSF Testing Facility,Use,1,,," $93,967 ",,,,,,,,Unknown
,,,,,,,,,," $78,762 "," $36,587 ",,,,,,,,,
